통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","M2(평잔,계절조정계열)","십억원","원자료","1,468,853.6","1,559,667.6","1,647,446.0","1,740,311.8","1,869,572.0","2,031,911.6","2,186,730.9","2,336,396.2","2,470,520.1","2,623,761.8","2,914,673.7","3,246,752.0","3,565,422.7","3,701,772.1","3,822,896.3","3,993,703.9"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  현금통화","십억원","원자료","31,041.1","36,194.0","40,993.1","48,283.8","57,606.1","69,488.5","80,706.9","90,681.3","99,004.9","107,615.1","124,250.7","144,439.2","161,442.7","163,939.4","174,713.3","189,865.8"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  요구불예금","십억원","원자료","93,032.9","97,433.3","98,757.4","111,551.1","127,185.2","159,128.5","193,741.3","214,992.9","226,428.3","240,681.9","306,252.9","392,086.9","414,551.0","361,315.3","368,568.4","388,441.8"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  수시입출식저축성예금","십억원","원자료","267,354.3","287,079.9","296,835.9","319,857.6","346,565.6","404,911.2","460,220.9","498,861.5","516,598.1","526,536.9","627,608.0","748,838.2","763,397.1","669,799.8","685,637.7","715,111.8"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  MMF 지분","십억원","원자료","59,214.2","46,281.9","47,383.9","50,197.0","56,310.5","77,300.0","83,355.1","87,438.3","86,211.0","80,867.5","117,632.9","130,885.6","131,458.6","153,130.5","150,454.9","164,535.0"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  만기2년미만정기예적금","십억원","원자료","717,201.6","816,078.5","872,566.8","882,664.7","892,110.8","892,626.1","922,617.2","971,065.2","1,053,014.7","1,159,159.6","1,189,119.3","1,207,803.0","1,400,952.5","1,658,435.3","1,719,681.0","1,764,365.9"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  시장형상품 1)","십억원","원자료","82,002.5","46,828.5","37,335.7","32,453.3","29,677.9","28,558.7","29,400.3","31,291.2","35,523.5","32,005.8","22,359.9","31,174.8","45,032.9","61,982.1","62,840.8","60,445.6"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  만기2년미만금융채","십억원","원자료","64,226.8","68,309.0","68,453.0","76,342.9","89,008.4","93,428.4","93,598.5","99,963.9","106,721.6","97,398.2","104,071.4","114,589.4","135,958.5","152,101.9","168,238.4","165,260.8"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  만기2년미만금전신탁","십억원","원자료","74,408.0","81,915.5","99,589.5","130,639.1","159,597.7","183,490.4","195,912.5","203,872.3","206,520.8","233,839.3","249,098.8","282,040.3","300,592.7","251,219.2","240,447.8","266,734.4"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  기타 2)","십억원","원자료","80,372.0","79,547.0","85,530.7","88,322.3","111,509.8","122,979.8","127,178.3","138,229.5","140,497.2","145,657.5","174,279.8","194,894.7","212,036.7","229,848.6","252,313.9","278,942.7"
"1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)","  [참고] 구 M2(평잔, 계절조정계열)","십억원","원자료","1,639,675.1","1,708,984.5","1,798,625.7","1,885,781.3","2,009,576.3","2,182,911.9","2,342,621.3","2,471,225.6","2,626,902.0","2,809,943.7","3,070,830.4","3,430,442.1","3,722,787.2","3,830,620.4","4,045,625.9","4,344,748.0"
