법정동코드,기준연월,시도명,시군구명,읍면동명,리명,계
1111010100,2026-03-31,서울특별시,종로구,청운동,,2250
1111010200,2026-03-31,서울특별시,종로구,신교동,,1273
1111010300,2026-03-31,서울특별시,종로구,궁정동,,189
1111010400,2026-03-31,서울특별시,종로구,효자동,,519
1111010500,2026-03-31,서울특별시,종로구,창성동,,363
1111010600,2026-03-31,서울특별시,종로구,통의동,,304
1111010700,2026-03-31,서울특별시,종로구,적선동,,24
1111010800,2026-03-31,서울특별시,종로구,통인동,,648
1111010900,2026-03-31,서울특별시,종로구,누상동,,3027
1111011000,2026-03-31,서울특별시,종로구,누하동,,701
1111011100,2026-03-31,서울특별시,종로구,옥인동,,1829
1111011200,2026-03-31,서울특별시,종로구,체부동,,673
1111011300,2026-03-31,서울특별시,종로구,필운동,,930
1111011400,2026-03-31,서울특별시,종로구,내자동,,72
1111011500,2026-03-31,서울특별시,종로구,사직동,,3102
1111011600,2026-03-31,서울특별시,종로구,도렴동,,1
1111011700,2026-03-31,서울특별시,종로구,당주동,,291
1111011800,2026-03-31,서울특별시,종로구,내수동,,2725
1111012000,2026-03-31,서울특별시,종로구,신문로1가,,72
1111012100,2026-03-31,서울특별시,종로구,신문로2가,,699
1111012200,2026-03-31,서울특별시,종로구,청진동,,58
1111012300,2026-03-31,서울특별시,종로구,서린동,,2
1111012400,2026-03-31,서울특별시,종로구,수송동,,270
1111012500,2026-03-31,서울특별시,종로구,중학동,,4
1111012600,2026-03-31,서울특별시,종로구,종로1가,,112
1111012700,2026-03-31,서울특별시,종로구,공평동,,1
1111012800,2026-03-31,서울특별시,종로구,관훈동,,77
1111012900,2026-03-31,서울특별시,종로구,견지동,,243
1111013000,2026-03-31,서울특별시,종로구,와룡동,,86
1111013100,2026-03-31,서울특별시,종로구,권농동,,98
1111013200,2026-03-31,서울특별시,종로구,운니동,,156
1111013300,2026-03-31,서울특별시,종로구,익선동,,1005
1111013400,2026-03-31,서울특별시,종로구,경운동,,255
1111013500,2026-03-31,서울특별시,종로구,관철동,,314
1111013600,2026-03-31,서울특별시,종로구,인사동,,73
1111013700,2026-03-31,서울특별시,종로구,낙원동,,825
1111013800,2026-03-31,서울특별시,종로구,종로2가,,64
1111013900,2026-03-31,서울특별시,종로구,팔판동,,268
1111014000,2026-03-31,서울특별시,종로구,삼청동,,1170
1111014100,2026-03-31,서울특별시,종로구,안국동,,239
1111014200,2026-03-31,서울특별시,종로구,소격동,,122
1111014300,2026-03-31,서울특별시,종로구,화동,,180
1111014400,2026-03-31,서울특별시,종로구,사간동,,116
1111014600,2026-03-31,서울특별시,종로구,가회동,,887
1111014700,2026-03-31,서울특별시,종로구,재동,,77
