통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"1.3.1. 한국은행 기준금리 및 여수신금리","한국은행 기준금리","연%","원자료","2.50","3.25","2.75","2.50","2.00","1.50","1.25","1.50","1.75","1.25","0.50","1.00","3.25","3.50","3.00","2.50"
"1.3.1. 한국은행 기준금리 및 여수신금리","정부대출금금리","연%","원자료","2.600","3.400","2.960","2.670","2.350","1.627","1.402","1.362","1.685","1.393","0.736","0.870","2.808","3.706","3.302","2.457"
"1.3.1. 한국은행 기준금리 및 여수신금리","총액한도대출금리","연%","원자료","1.25","1.50","1.25","","","","","","","","","","","","",""
"1.3.1. 한국은행 기준금리 및 여수신금리","결제자금지원한도 대출금리","연%","원자료","","","","","","","","","","","","","","","",""
"1.3.1. 한국은행 기준금리 및 여수신금리","무역금융지원 프로그램대출금리","연%","원자료","","","","1.00","1.00","0.75","0.50","0.50","0.50","0.50","0.25","0.25","1.75","2.00","1.50","1.00"
"1.3.1. 한국은행 기준금리 및 여수신금리","신용대출지원 프로그램대출금리","연%","원자료","","","","1.00","1.00","","","","","","","","","","",""
"1.3.1. 한국은행 기준금리 및 여수신금리","영세자영업자지원 프로그램대출금리","연%","원자료","","","","1.00","0.50","0.50","0.50","0.50","0.50","0.50","0.25","0.25","1.75","2.00","1.50","1.00"
"1.3.1. 한국은행 기준금리 및 여수신금리","신성장·일자리지원 프로그램대출금리","연%","원자료","","","","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.25","0.25","1.75","2.00","1.50","1.00"
"1.3.1. 한국은행 기준금리 및 여수신금리","설비투자지원 프로그램대출금리","연%","원자료","","","","","1.00","0.75","0.75","0.75","0.75","0.75","0.25","0.25","1.75","2.00","1.50","1.00"
"1.3.1. 한국은행 기준금리 및 여수신금리","지방중소기업지원 프로그램대출금리","연%","원자료","","","","1.00","1.00","0.75","0.75","0.75","0.75","0.75","0.25","0.25","1.75","2.00","1.50","1.00"
"1.3.1. 한국은행 기준금리 및 여수신금리","자금조정 대출금리","연%","원자료","3.50","4.25","3.75","3.50","3.00","2.50","2.25","2.50","2.75","2.25","1.00","2.00","4.25","4.00","3.50","3.00"
"1.3.1. 한국은행 기준금리 및 여수신금리","자금조정 예금금리","연%","원자료","1.50","2.25","1.75","1.50","1.00","0.50","0.25","0.50","0.75","0.25","0.00","0.00","2.25","3.00","2.50","2.00"
