통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"1.3.2.2. 시장금리(월,분기,년)","무담보콜금리 전체","연%","원자료","2.160","3.090","3.080","2.590","2.340","1.650","1.340","1.260","1.520","1.590","0.700","0.610","2.030","3.507","3.444","2.658"
"1.3.2.2. 시장금리(월,분기,년)","  무담보콜금리(1일)","연%","원자료","2.160","3.090","3.080","2.590","2.340","1.650","1.340","1.260","1.520","1.590","0.700","0.610","2.021","3.508","3.443","2.657"
"1.3.2.2. 시장금리(월,분기,년)","    무담보콜금리(1일, 중개거래)","연%","원자료","2.160","3.090","3.080","2.590","2.340","1.650","1.340","1.260","1.520","1.590","0.700","0.610","2.021","3.508","3.443","2.657"
"1.3.2.2. 시장금리(월,분기,년)","      무담보콜금리(1일,은행증권금융차입)","연%","원자료","","","","","","","","","","","","0.940","1.927","3.425","3.371","2.592"
"1.3.2.2. 시장금리(월,분기,년)","      무담보콜금리(1일, 중개거래,투신사연계콜제외)","연%","원자료","","","","","","","","","","","","","","","",""
"1.3.2.2. 시장금리(월,분기,년)","담보콜금리전체","연%","원자료","2.420","3.230","3.180","2.680","2.530","","","","","","","","","","",""
"1.3.2.2. 시장금리(월,분기,년)","  담보콜금리(1일)","연%","원자료","2.430","3.230","3.180","2.680","2.530","","","","","","","","","","",""
"1.3.2.2. 시장금리(월,분기,년)","KORIBOR(3개월)","연%","원자료","2.68","3.43","3.27","2.70","2.46","1.71","1.45","1.42","1.70","1.66","0.87","0.87","2.49","3.73","3.53","2.71"
"1.3.2.2. 시장금리(월,분기,년)","KORIBOR(6개월)","연%","원자료","2.94","3.56","3.31","2.74","2.49","1.73","1.48","1.51","1.84","1.68","0.94","0.99","2.83","3.81","3.52","2.72"
"1.3.2.2. 시장금리(월,분기,년)","KORIBOR(12개월)","연%","원자료","3.40","3.71","3.35","2.78","2.52","1.76","1.51","1.68","2.01","1.69","1.03","1.17","3.24","3.85","3.43","2.68"
"1.3.2.2. 시장금리(월,분기,년)","CD(91일)","연%","원자료","2.67","3.44","3.30","2.72","2.49","1.76","1.49","1.44","1.68","1.69","0.92","0.85","2.49","3.71","3.55","2.70"
"1.3.2.2. 시장금리(월,분기,년)","CP(91일)","연%","원자료","2.87","3.59","3.39","2.81","2.60","1.86","1.62","1.64","1.83","1.84","1.50","1.10","2.90","4.19","3.96","2.94"
"1.3.2.2. 시장금리(월,분기,년)","국민주택채권1종(5년)","연%","원자료","4.590","4.110","3.430","3.160","2.977","2.106","1.661","2.164","2.454","1.675","1.371","1.859","3.478","3.814","3.308","2.853"
"1.3.2.2. 시장금리(월,분기,년)","국고채(1년)","연%","원자료","2.950","3.420","3.130","2.660","2.437","1.698","1.433","1.543","1.843","1.516","0.840","0.917","2.645","3.533","3.171","2.433"
"1.3.2.2. 시장금리(월,분기,년)","국고채(2년)","연%","원자료","","","","","","","","","","","","1.301","3.122","3.623","3.166","2.549"
"1.3.2.2. 시장금리(월,분기,년)","국고채(3년)","연%","원자료","3.720","3.620","3.130","2.790","2.589","1.794","1.442","1.801","2.099","1.529","0.988","1.392","3.199","3.573","3.107","2.567"
"1.3.2.2. 시장금리(월,분기,년)","국고채(5년)","연%","원자료","4.310","3.890","3.240","3.000","2.836","1.974","1.533","2.001","2.308","1.589","1.233","1.719","3.319","3.589","3.150","2.709"
"1.3.2.2. 시장금리(월,분기,년)","국고채(10년)","연%","원자료","4.770","4.200","3.450","3.280","3.183","2.304","1.749","2.281","2.502","1.700","1.499","2.067","3.367","3.641","3.218","2.894"
"1.3.2.2. 시장금리(월,분기,년)","국고채(20년)","연%","원자료","4.980","4.340","3.530","3.460","3.375","2.478","1.821","2.333","2.477","1.711","1.610","2.135","3.328","3.603","3.166","2.860"
"1.3.2.2. 시장금리(월,분기,년)","국고채(30년)","연%","원자료","","","3.130","3.570","3.460","2.549","1.840","2.337","2.449","1.698","1.615","2.121","3.255","3.580","3.096","2.772"
"1.3.2.2. 시장금리(월,분기,년)","국고채(50년)","연%","원자료","","","","","","","2.001","2.335","2.415","1.691","1.615","2.121","3.227","3.547","3.048","2.655"
"1.3.2.2. 시장금리(월,분기,년)","통안증권(91일)","연%","원자료","2.360","3.300","3.130","2.600","2.391","1.669","1.401","1.331","1.593","1.535","0.772","0.650","2.141","3.502","3.302","2.523"
"1.3.2.2. 시장금리(월,분기,년)","통안증권(1년)","연%","원자료","3.030","3.550","3.140","2.660","2.445","1.700","1.435","1.543","1.864","1.550","0.828","0.929","2.638","3.547","3.146","2.428"
"1.3.2.2. 시장금리(월,분기,년)","통안증권(2년)","연%","원자료","3.670","3.710","3.160","2.750","2.529","1.755","1.447","1.736","2.047","1.547","0.935","1.232","3.121","3.620","3.156","2.546"
"1.3.2.2. 시장금리(월,분기,년)","산금채(1년)","연%","원자료","3.270","3.650","3.230","2.720","2.488","1.765","1.493","1.637","1.976","1.638","0.973","1.119","3.158","3.790","3.390","2.648"
"1.3.2.2. 시장금리(월,분기,년)","회사채(3년, AA-)","연%","원자료","4.660","4.410","3.770","3.190","2.983","2.084","1.886","2.325","2.651","2.023","2.128","2.083","4.155","4.394","3.676","3.091"
"1.3.2.2. 시장금리(월,분기,년)","회사채(3년, BBB-)","연%","원자료","10.680","10.380","9.340","8.840","8.709","7.997","7.929","8.554","8.819","8.115","8.410","8.329","10.006","10.768","9.760","8.894"
"1.3.2.2. 시장금리(월,분기,년)","회사채(3년, AA-, 민평)","연%","원자료","","","","","2.938","2.142","1.894","2.247","2.539","1.897","1.572","1.814","4.160","4.386","3.672","3.082"
"1.3.2.2. 시장금리(월,분기,년)","MMF(7일)","연%","원자료","","","","","2.42","1.67","1.35","1.31","1.63","1.66","0.96","0.73","2.21","3.81","3.64","2.79"
"1.3.2.2. 시장금리(월,분기,년)","CMA(수시형)","연%","원자료","","","","","2.26","1.54","1.23","1.13","1.24","1.29","0.43","0.35","1.70","3.01","2.88","2.12"
