통계표,계정항목,단위,변환,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01,2026/02,2026/03,2026/04,2026/05,2026/06,2026/07,2026/08,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"1.5.1.2. 주식시장(월,년)","  KOSPI_회사수","사","원자료","850","847","847","847","847","841","840","840","839","838","835","833","832","777","791","784","777","773","770","779","774","788","799","800","824","826","839","848","847"
"1.5.1.2. 주식시장(월,년)","  KOSPI_종목수","종목","원자료","961","958","958","958","958","951","950","950","949","948","945","943","943","927","938","930","918","899","887","896","887","901","916","917","943","943","953","961","958"
"1.5.1.2. 주식시장(월,년)","  KOSPI_상장주식수","주 ","원자료","64,086,244,318","63,694,964,624","63,593,145,976","63,598,471,277","63,571,156,892","63,585,656,786","63,457,276,337","63,841,747,097","63,496,519,146","60,372,538,907","60,023,774,548","59,667,707,400","59,021,549,477","33,706,254,753","35,402,934,249","35,823,033,471","35,217,293,192","36,142,636,820","38,278,300,789","41,031,721,448","42,497,825,451","52,094,789,048","55,322,658,427","56,609,043,184","61,992,915,470","63,527,818,543","62,263,359,599","63,394,324,571","63,571,156,892"
"1.5.1.2. 주식시장(월,년)","  KOSPI_시가총액","천원","원자료","2,619,011,116,579","2,817,769,969,229","3,383,447,874,400","3,235,761,043,400","3,477,839,534,743","4,318,647,135,951","5,146,373,107,792","4,159,085,895,028","5,407,467,825,453","6,933,143,272,190","6,929,540,848,101","5,445,193,657,915","5,620,144,799,211","1,141,885,458,029","1,041,999,162,203","1,154,294,166,644","1,185,973,723,791","1,192,252,867,277","1,242,832,089,301","1,308,440,373,892","1,605,820,911,910","1,343,971,857,986","1,475,909,365,806","1,980,543,161,609","2,203,366,545,862","1,767,235,220,931","2,126,372,515,851","1,963,328,801,432","3,477,839,534,743"
"1.5.1.2. 주식시장(월,년)","  KOSPI_거래량","주 ","원자료","6,355,223,036","8,198,286,762","8,657,081,816","7,295,808,060","8,409,731,955","11,550,206,651","17,823,585,784","23,260,800,947","20,838,015,789","12,578,290,540","10,290,333,156","9,512,544,956","6,478,328,939","95,595,708,006","87,732,413,177","120,646,923,380","81,096,386,463","68,130,089,442","112,903,398,973","92,686,041,092","82,731,069,300","97,105,193,258","115,797,793,783","222,023,578,711","257,790,857,623","146,418,394,369","131,861,430,084","118,795,711,924","107,698,583,508"
"1.5.1.2. 주식시장(월,년)","  KOSPI_거래대금","천원","원자료","207,859,539,786","254,193,390,633","325,508,606,865","348,668,626,302","302,753,840,198","568,178,527,975","547,974,069,584","633,002,902,926","650,114,842,572","903,865,728,691","1,057,289,779,214","811,259,609,768","516,920,545,474","1,410,561,812,868","1,702,060,329,049","1,196,263,410,416","986,375,266,094","975,977,127,309","1,327,229,926,762","1,112,668,732,271","1,294,159,776,904","1,597,863,883,836","1,227,492,514,340","3,025,703,417,070","3,825,207,586,442","2,216,065,829,785","2,352,658,889,312","2,620,939,577,403","3,000,843,161,027"
"1.5.1.2. 주식시장(월,년)","  KOSPI_거래량 일평균","주 ","원자료","317,761,152","372,649,398","480,948,990","364,790,403","400,463,426","550,009,841","1,048,446,223","1,107,657,188","947,182,536","698,793,919","490,015,865","432,388,407","323,916,447","380,859,394","353,759,731","486,479,530","328,325,451","278,081,998","455,255,641","376,772,525","340,457,075","397,972,104","470,722,739","895,256,366","1,039,479,265","595,196,725","538,209,919","486,867,672","445,035,469"
"1.5.1.2. 주식시장(월,년)","  KOSPI_거래대금 일평균","천원","원자료","10,392,976,989","11,554,245,029","18,083,811,492","17,433,431,315","14,416,849,533","27,056,120,380","32,233,768,799","30,142,995,377","29,550,674,662","50,214,762,705","50,347,132,344","36,875,436,808","25,846,027,274","5,619,768,179","6,863,146,488","4,823,642,784","3,993,422,130","3,983,580,111","5,351,733,576","4,523,043,627","5,325,760,399","6,548,622,475","4,989,806,969","12,200,417,004","15,424,224,139","9,008,397,682","9,602,689,344","10,741,555,645","12,400,178,351"
"1.5.1.2. 주식시장(월,년)","  KOSPI_종가","1980.01.04=100 ","원자료","3,186.01","3,424.60","4,107.50","3,926.59","4,214.17","5,224.36","6,244.13","5,052.46","6,598.87","8,476.15","8,476.48","6,595.45","6,820.02","2,051.00","1,825.74","1,997.05","2,011.34","1,915.59","1,961.31","2,026.46","2,467.49","2,041.04","2,197.67","2,873.47","2,977.65","2,236.40","2,655.28","2,399.49","4,214.17"
"1.5.1.2. 주식시장(월,년)","  KOSPI_평균","1980.01.04=100 ","원자료","3,183.79","3,352.56","3,808.59","4,012.46","4,088.04","4,807.38","5,575.40","5,524.28","6,061.49","7,705.07","8,468.80","7,000.54","6,633.05","1,764.99","1,983.42","1,930.37","1,960.50","1,982.16","2,011.85","1,987.00","2,311.36","2,325.01","2,106.05","2,220.07","3,111.31","2,522.25","2,498.85","2,632.17","3,113.76"
"1.5.1.2. 주식시장(월,년)","  KOSPI_상장주식 회전율 1)","%","원자료","9.92","12.82","13.60","11.47","13.22","18.13","28.07","36.45","32.62","20.39","17.08","15.87","10.87","292.11","254.09","338.51","230.74","192.63","307.20","233.71","198.52","201.86","216.03","401.67","441.41","233.49","210.07","189.83","168.87"
"1.5.1.2. 주식시장(월,년)","  KOSPI_배당수익률 2)","%","원자료","1.72","1.60","1.34","1.40","1.30","1.05","0.88","1.09","0.84","0.75","0.75","0.96","0.93","1.12","1.54","1.33","1.14","1.13","1.33","1.52","1.36","1.93","2.02","1.48","1.82","2.22","1.83","2.06","1.30"
