통계표,계정항목,단위,변환,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025 p)
"2.1.1.1. 주요지표(연간지표)","  국내총생산(명목, 원화표시)","십억원","원자료","1,379,460.2","1,448,575.6","1,504,674.1","1,570,938.2","1,638,484.8","1,740,776","1,833,026.6","1,934,233.9","2,006,974.5","2,040,594.3","2,058,466.5","2,223,719.9","2,328,169","2,407,575.8","2,564,204.2","2,676,674.8"
"2.1.1.1. 주요지표(연간지표)","  국내총생산(명목, 달러표시)","억달러","원자료","11,930.4","13,072.5","13,352.6","14,345.9","15,556.9","15,384.8","15,795.1","17,104.4","18,240.2","17,506.1","17,443.9","19,431","18,020.6","18,443.1","18,799.4","18,820.4"
"2.1.1.1. 주요지표(연간지표)","  국민총소득(명목, 원화표시)","십억원","원자료","1,381,435.9","1,457,173.3","1,519,751.8","1,580,503.9","1,646,049.1","1,745,962.1","1,839,390.5","1,941,716.5","2,014,588.5","2,057,204.1","2,075,410.3","2,247,019.7","2,355,522.9","2,440,877.5","2,601,613.7","2,717,062.8"
"2.1.1.1. 주요지표(연간지표)","  국민총소득(명목, 달러표시)","억달러","원자료","11,947.5","13,150.1","13,486.4","14,433.3","15,628.7","15,430.6","15,850","17,170.6","18,309.4","17,648.6","17,587.5","19,634.6","18,232.3","18,698.2","19,073.7","19,104.4"
"2.1.1.1. 주요지표(연간지표)","  요소비용국민소득(명목)","십억원","원자료","1,001,865.5","1,051,774.3","1,093,581.5","1,142,875.7","1,189,695.9","1,264,294","1,332,598.7","1,406,715.4","1,453,820.7","1,469,967.6","1,460,954.8","1,573,486.5","1,626,401.8","1,698,494.3","1,816,027.3","1,900,674.8"
"2.1.1.1. 주요지표(연간지표)","  국민처분가능소득(명목)","십억원","원자료","1,128,390.1","1,184,566","1,229,226.6","1,280,565.8","1,332,691","1,416,721.8","1,494,841.8","1,577,031.4","1,628,018.5","1,648,030.4","1,648,918.5","1,780,951.9","1,842,073","1,893,584.9","2,020,567.3","2,108,537.2"
"2.1.1.1. 주요지표(연간지표)","  국민총처분가능소득(명목)","십억원","원자료","1,376,236.4","1,453,121.6","1,515,204.6","1,577,843.9","1,642,669.3","1,741,717.5","1,834,251.4","1,935,277.5","2,007,352.8","2,051,307.9","2,072,253.6","2,240,899.5","2,351,273.9","2,432,766.2","2,590,915.1","2,705,698.7"
"2.1.1.1. 주요지표(연간지표)","  가계총처분가능소득(명목)","십억원","원자료","765,740.8","810,350","845,264.7","882,257.4","926,680.2","988,356","1,015,405.5","1,046,674.9","1,095,456","1,147,008.9","1,188,519.6","1,230,115.3","1,302,267.7","1,375,617.9","1,450,565.1","1,507,977.1"
"2.1.1.1. 주요지표(연간지표)","  1인당 국내총생산(명목, 원화표시)","만원","원자료","2,783.7","2,900.8","2,997.4","3,115.2","3,228.8","3,412.3","3,578.9","3,765.9","3,890.6","3,942","3,971.1","4,295.4","4,505.6","4,655.7","4,954.9","5,178.9"
"2.1.1.1. 주요지표(연간지표)","  1인당 국내총생산(명목, 달러표시)","달러","원자료","24,075.4","26,178.2","26,598.8","28,447.9","30,656","30,157.5","30,839.2","33,301.7","35,359.6","33,818.5","33,651.9","37,533.6","34,874.6","35,664.5","36,326.6","36,414"
"2.1.1.1. 주요지표(연간지표)","  1인당 국민총소득(명목, 원화표시)","만원","원자료","2,787.7","2,918","3,027.4","3,134.1","3,243.7","3,422.5","3,591.3","3,780.5","3,905.4","3,974.1","4,003.8","4,340.4","4,558.6","4,720.1","5,027.2","5,257"
"2.1.1.1. 주요지표(연간지표)","  1인당 국민총소득(명목, 달러표시)","달러","원자료","24,109.9","26,333.5","26,865.4","28,621.1","30,797.6","30,247.3","30,946.2","33,430.5","35,493.7","34,093.7","33,928.9","37,926.9","35,284.3","36,157.8","36,856.6","36,963.4"
"2.1.1.1. 주요지표(연간지표)","  1인당 가계총처분가능소득(명목, 원화표시)","만원","원자료","1,545.3","1,622.8","1,683.8","1,749.5","1,826.1","1,937.4","1,982.5","2,037.8","2,123.6","2,215.8","2,292.8","2,376.1","2,520.2","2,660.1","2,803","2,917.7"
"2.1.1.1. 주요지표(연간지표)","  1인당 가계총처분가능소득(명목, 달러표시)","달러","원자료","13,364.3","14,644.4","14,942.1","15,976.7","17,338.2","17,122.4","17,083.4","18,020.6","19,300.1","19,009.2","19,430","20,762.8","19,507.2","20,377.7","20,549.9","20,514.8"
"2.1.1.1. 주요지표(연간지표)","  국내총생산(실질성장률)","%","원자료","7.0","3.7","2.5","3.3","3.2","2.9","3.2","3.4","3.2","2.3","-0.7","4.7","2.9","1.5","2.2","1.1"
"2.1.1.1. 주요지표(연간지표)","    농림어업","%","원자료","-3.6","-1.0","-0.5","4.2","5.1","-0.3","-6.6","1.2","-0.8","2.9","-6.7","3.4","0.8","-1.8","0.7","0.5"
"2.1.1.1. 주요지표(연간지표)","    광공업","%","원자료","13.9","5.1","1.7","3.5","3.3","1.7","2.1","4.2","3.3","0.5","-2.0","6.8","3.1","1.1","4.8","2.3"
"2.1.1.1. 주요지표(연간지표)","    (제조업)","%","원자료","14.0","5.2","1.7","3.5","3.3","1.8","2.1","4.3","3.4","0.5","-2.0","6.8","3.2","1.1","4.9","2.4"
"2.1.1.1. 주요지표(연간지표)","    전기, 가스 및 수도사업","%","원자료","4.6","1.4","2.7","-1.3","3.5","6.7","-0.4","5.7","-1.2","3.8","5.7","1.7","3.5","-2.6","4.2","-0.6"
"2.1.1.1. 주요지표(연간지표)","    건설업","%","원자료","-3.6","-4.8","-0.4","4.4","1.9","6.1","10.7","6.6","-2.1","-1.7","-0.4","-0.9","0.9","-0.6","-3.3","-9.2"
"2.1.1.1. 주요지표(연간지표)","    서비스업","%","원자료","5.1","3.8","3.4","3.5","3.0","3.1","3.4","2.8","4.2","3.8","-0.4","4.3","3.8","2.7","1.7","1.7"
"2.1.1.1. 주요지표(연간지표)","    순생산물세","%","원자료","7.5","4.2","2.0","1.1","4.4","3.7","4.4","2.7","1.2","0.7","1.1","5.1","-2.3","-3.6","1.1","-0.4"
