통계표,계정항목,단위,변환,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01,2026/02,2026/03,2026/04,2026/05,2026/06,2026/07,2026/08
"1.3.2.2. 시장금리(월,분기,년)","무담보콜금리 전체","연%","원자료","2.000","2.000","2.010","2.000","2.010","2.000","2.200","2.270","2.270","2.260","2.370","2.500","2.660","2.750","2.920","3.010","3.020","3.200","3.260","3.250","3.250","3.240","3.260","3.260","3.260","3.250","3.250","3.250","3.260","3.260","3.090","3.000","2.990","2.810","2.750","2.750","2.760","2.750","2.740","2.750","2.560","2.490","2.480","2.500","2.500","2.500","2.500","2.500","2.500","2.490","2.480","2.490","2.490","2.480","2.490","2.340","2.240","2.070","1.980","1.990","1.990","1.990","1.830","1.730","1.740","1.570","1.480","1.490","1.480","1.480","1.490","1.480","1.490","1.490","1.490","1.480","1.490","1.290","1.230","1.230","1.240","1.230","1.230","1.230","1.240","1.230","1.230","1.230","1.230","1.240","1.240","1.230","1.250","1.250","1.260","1.510","1.500","1.490","1.490","1.480","1.500","1.490","1.490","1.500","1.540","1.520","1.510","1.770","1.760","1.760","1.760","1.750","1.750","1.760","1.630","1.510","1.520","1.360","1.280","1.280","1.270","1.240","0.980","0.740","0.700","0.480","0.480","0.510","0.480","0.500","0.500","0.510","0.490","0.490","0.490","0.480","0.480","0.510","0.530","0.560","0.770","0.750","0.800","1.024","1.181","1.211","1.250","1.297","1.504","1.751","1.953","2.262","2.535","2.917","3.166","3.333","3.298","3.438","3.386","3.451","3.583","3.564","3.510","3.539","3.595","3.518","3.569","3.635","3.472","3.585","3.464","3.520","3.530","3.547","3.518","3.532","3.527","3.330","3.248","3.058","3.058","2.967","2.753","2.769","2.736","2.519","2.501","2.507","2.528","2.516","2.513","2.532","2.532","2.545","2.532","2.519","2.543","2.556","2.620","2.823"
"1.3.2.2. 시장금리(월,분기,년)","  무담보콜금리(1일)","연%","원자료","2.000","2.000","2.010","2.000","2.010","2.000","2.210","2.270","2.270","2.260","2.370","2.500","2.660","2.750","2.920","3.010","3.020","3.200","3.260","3.250","3.250","3.240","3.260","3.260","3.260","3.250","3.250","3.250","3.260","3.260","3.080","3.000","2.990","2.800","2.750","2.750","2.760","2.750","2.740","2.750","2.550","2.490","2.480","2.500","2.500","2.500","2.500","2.500","2.500","2.490","2.480","2.490","2.490","2.480","2.490","2.340","2.230","2.060","1.980","1.990","1.990","1.990","1.820","1.730","1.740","1.570","1.480","1.490","1.480","1.480","1.490","1.480","1.490","1.490","1.490","1.490","1.490","1.280","1.230","1.230","1.240","1.230","1.230","1.220","1.240","1.230","1.230","1.230","1.230","1.240","1.240","1.230","1.250","1.240","1.260","1.510","1.490","1.490","1.490","1.470","1.500","1.490","1.490","1.500","1.540","1.520","1.510","1.770","1.750","1.760","1.760","1.750","1.750","1.760","1.630","1.510","1.520","1.350","1.280","1.280","1.270","1.240","0.980","0.740","0.700","0.480","0.480","0.500","0.480","0.510","0.490","0.510","0.490","0.490","0.490","0.480","0.480","0.510","0.530","0.560","0.770","0.740","0.796","1.012","1.188","1.219","1.244","1.299","1.505","1.745","1.971","2.263","2.533","2.959","3.096","3.235","3.269","3.425","3.425","3.467","3.570","3.566","3.510","3.538","3.596","3.517","3.572","3.639","3.470","3.582","3.467","3.518","3.530","3.547","3.518","3.531","3.529","3.321","3.245","3.055","3.053","2.965","2.754","2.769","2.738","2.520","2.500","2.506","2.526","2.516","2.512","2.530","2.531","2.541","2.527","2.517","2.537","2.537","2.620","2.809"
"1.3.2.2. 시장금리(월,분기,년)","    무담보콜금리(1일, 중개거래)","연%","원자료","2.000","2.000","2.010","2.000","2.010","2.000","2.210","2.270","2.270","2.260","2.370","2.500","2.660","2.750","2.920","3.010","3.020","3.210","3.260","3.250","3.250","3.240","3.260","3.260","3.260","3.250","3.250","3.250","3.260","3.260","3.080","3.000","2.990","2.800","2.750","2.750","2.760","2.750","2.740","2.750","2.550","2.490","2.480","2.500","2.500","2.500","2.500","2.500","2.500","2.490","2.480","2.490","2.490","2.480","2.490","2.340","2.230","2.060","1.980","1.990","1.990","1.990","1.820","1.730","1.740","1.570","1.480","1.490","1.480","1.480","1.490","1.480","1.490","1.490","1.490","1.490","1.490","1.280","1.230","1.230","1.240","1.230","1.230","1.220","1.240","1.230","1.230","1.230","1.230","1.240","1.240","1.230","1.250","1.240","1.260","1.510","1.490","1.490","1.490","1.470","1.500","1.490","1.490","1.500","1.540","1.520","1.510","1.770","1.750","1.760","1.760","1.750","1.750","1.760","1.630","1.510","1.520","1.350","1.280","1.280","1.270","1.240","0.980","0.740","0.700","0.480","0.480","0.500","0.480","0.510","0.490","0.510","0.490","0.490","0.490","0.480","0.480","0.510","0.530","0.560","0.770","0.740","0.796","1.012","1.188","1.219","1.244","1.299","1.505","1.745","1.971","2.263","2.533","2.959","3.096","3.235","3.269","3.425","3.425","3.467","3.570","3.566","3.510","3.538","3.596","3.517","3.572","3.639","3.470","3.582","3.467","3.518","3.530","3.547","3.518","3.531","3.529","3.321","3.245","3.055","3.053","2.965","2.754","2.769","2.738","2.520","2.500","2.506","2.526","2.516","2.512","2.530","2.531","2.541","2.527","2.517","2.537","2.537","2.620","2.809"
"1.3.2.2. 시장금리(월,분기,년)","      무담보콜금리(1일,은행증권금융차입)","연%","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.938","1.111","1.170","1.179","1.227","1.435","1.639","1.841","2.172","2.446","2.770","3.005","3.126","3.157","3.386","3.315","3.395","3.512","3.486","3.440","3.476","3.513","3.456","3.475","3.484","3.375","3.502","3.368","3.444","3.474","3.466","3.450","3.474","3.463","3.270","3.193","2.976","2.973","2.885","2.690","2.707","2.659","2.453","2.443","2.461","2.479","2.466","2.445","2.447","2.474","2.490","2.482","2.467","2.471","2.480","2.552","2.762"
"1.3.2.2. 시장금리(월,분기,년)","      무담보콜금리(1일, 중개거래,투신사연계콜제외)","연%","원자료","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3.2.2. 시장금리(월,분기,년)","담보콜금리전체","연%","원자료","2.300","2.300","2.320","2.310","2.300","2.270","2.430","2.490","2.530","2.500","2.590","2.710","2.870","2.950","3.130","3.180","3.140","3.330","3.360","3.350","3.350","3.350","3.350","3.360","3.350","3.350","3.360","3.350","3.360","3.370","3.190","3.110","3.110","2.920","2.870","2.870","2.870","2.870","2.850","2.850","","2.500","","","2.530","2.530","2.530","2.560","2.550","2.530","2.530","2.530","","2.530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3.2.2. 시장금리(월,분기,년)","  담보콜금리(1일)","연%","원자료","2.310","2.310","2.320","2.320","2.310","2.280","2.430","2.500","2.540","2.500","2.590","2.720","2.870","2.950","3.140","3.180","3.140","3.330","3.360","3.350","3.350","3.350","3.350","3.350","3.350","3.350","3.350","3.350","3.360","3.360","3.190","3.110","3.110","2.910","2.870","2.870","2.870","2.870","2.850","2.850","","2.500","","","2.530","2.530","2.530","2.560","2.550","2.530","2.530","2.530","","2.530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.3.2.2. 시장금리(월,분기,년)","KORIBOR(3개월)","연%","원자료","2.88","2.88","2.82","2.54","2.46","2.46","2.61","2.66","2.68","2.66","2.72","2.80","2.91","3.11","3.31","3.39","3.45","3.51","3.58","3.59","3.57","3.57","3.56","3.55","3.56","3.53","3.53","3.52","3.52","3.51","3.30","3.10","3.07","2.89","2.82","2.85","2.83","2.79","2.76","2.75","2.69","2.68","2.66","2.66","2.66","2.65","2.65","2.65","2.65","2.65","2.65","2.65","2.65","2.64","2.57","2.42","2.30","2.16","2.07","2.12","2.05","2.03","1.88","1.74","1.75","1.64","1.57","1.55","1.55","1.54","1.61","1.67","1.61","1.54","1.55","1.55","1.52","1.37","1.27","1.27","1.31","1.37","1.48","1.51","1.42","1.41","1.43","1.39","1.36","1.36","1.37","1.36","1.35","1.41","1.57","1.67","1.65","1.64","1.64","1.65","1.65","1.67","1.68","1.67","1.67","1.76","1.81","1.89","1.86","1.86","1.87","1.84","1.80","1.72","1.63","1.46","1.49","1.46","1.48","1.51","1.45","1.34","1.16","1.06","0.91","0.67","0.64","0.58","0.65","0.66","0.65","0.75","0.75","0.74","0.75","0.72","0.66","0.65","0.77","0.79","0.93","1.02","1.20","1.36","1.45","1.47","1.47","1.60","1.74","2.08","2.51","2.70","2.97","3.52","4.02","4.03","3.74","3.54","3.59","3.46","3.64","3.77","3.76","3.68","3.76","3.89","3.99","3.92","3.71","3.69","3.67","3.57","3.59","3.59","3.48","3.45","3.49","3.43","3.40","3.31","3.12","2.98","2.87","2.76","2.66","2.57","2.52","2.50","2.51","2.54","2.69","2.82","2.72","2.77","2.81","2.79","2.79","2.93","3.01","3.05"
"1.3.2.2. 시장금리(월,분기,년)","KORIBOR(6개월)","연%","원자료","3.40","3.31","3.01","2.70","2.63","2.70","2.92","2.95","2.94","2.87","2.90","2.95","3.11","3.42","3.54","3.56","3.61","3.62","3.72","3.69","3.61","3.63","3.62","3.61","3.61","3.58","3.58","3.57","3.56","3.54","3.32","3.12","3.10","2.95","2.88","2.91","2.87","2.83","2.79","2.76","2.69","2.70","2.69","2.70","2.71","2.71","2.71","2.72","2.70","2.70","2.70","2.68","2.68","2.66","2.57","2.42","2.32","2.19","2.09","2.14","2.06","2.04","1.89","1.74","1.77","1.66","1.59","1.57","1.57","1.56","1.64","1.71","1.64","1.55","1.56","1.56","1.53","1.39","1.29","1.29","1.35","1.44","1.57","1.61","1.51","1.47","1.48","1.44","1.40","1.41","1.41","1.42","1.45","1.60","1.79","1.81","1.75","1.73","1.78","1.79","1.80","1.81","1.82","1.81","1.85","1.96","1.99","1.99","1.91","1.91","1.91","1.86","1.82","1.72","1.61","1.41","1.47","1.48","1.53","1.55","1.46","1.35","1.18","1.08","0.93","0.70","0.67","0.67","0.78","0.82","0.81","0.86","0.82","0.80","0.80","0.76","0.71","0.72","0.87","0.96","1.09","1.21","1.43","1.58","1.62","1.65","1.67","1.81","1.94","2.37","2.93","3.12","3.45","4.02","4.59","4.45","3.91","3.62","3.68","3.50","3.67","3.81","3.81","3.78","3.89","4.04","4.08","3.92","3.70","3.68","3.67","3.59","3.62","3.59","3.46","3.42","3.43","3.38","3.40","3.29","3.10","2.96","2.86","2.74","2.61","2.54","2.52","2.52","2.55","2.59","2.77","2.89","2.75","2.82","2.85","2.87","2.90","3.13","3.26","3.32"
"1.3.2.2. 시장금리(월,분기,년)","KORIBOR(12개월)","연%","원자료","4.03","3.92","3.50","3.04","3.15","3.27","3.50","3.46","3.33","3.10","3.22","3.27","3.44","3.74","3.77","3.75","3.75","3.73","3.83","3.76","3.66","3.68","3.68","3.67","3.67","3.63","3.64","3.62","3.60","3.58","3.35","3.14","3.11","2.98","2.92","2.95","2.90","2.84","2.80","2.76","2.71","2.76","2.75","2.75","2.77","2.75","2.76","2.79","2.75","2.74","2.74","2.73","2.72","2.69","2.57","2.44","2.35","2.21","2.12","2.17","2.07","2.04","1.90","1.75","1.79","1.69","1.64","1.62","1.62","1.61","1.71","1.76","1.66","1.56","1.58","1.57","1.55","1.43","1.32","1.32","1.39","1.49","1.61","1.69","1.59","1.56","1.59","1.56","1.54","1.55","1.58","1.63","1.67","1.87","2.03","1.98","1.95","1.98","2.05","1.99","2.00","2.01","2.00","1.97","1.97","2.08","2.07","2.02","1.94","1.94","1.94","1.87","1.83","1.71","1.58","1.38","1.48","1.48","1.60","1.57","1.48","1.36","1.22","1.16","1.04","0.88","0.81","0.80","0.90","0.90","0.91","0.92","0.88","0.87","0.88","0.85","0.81","1.04","1.15","1.21","1.32","1.47","1.71","1.76","1.80","1.94","1.99","2.31","2.44","3.02","3.60","3.50","3.94","4.57","5.00","4.55","3.95","3.67","3.74","3.56","3.70","3.86","3.87","3.86","3.98","4.11","4.10","3.85","3.62","3.67","3.65","3.59","3.64","3.56","3.36","3.32","3.30","3.23","3.24","3.03","2.88","2.86","2.85","2.66","2.55","2.54","2.52","2.52","2.55","2.60","2.79","2.86","2.80","2.96","3.00","3.12","3.24","3.56","3.72","3.68"
