asset_type,building_key,tier,band,band_alt,legal_kind,n,n_1,n_low,n_mid,n_high,n_top,max_floor,addr1,addr2,addr3,addr4,place
apartment,000360708616c49fc9dcaf3a5c58d26a88b794955cd568145ddc18ded5663019,metro,le15,le20,dong,93,8,17,44,21,3,15.0,경기도,성남시,중원구,도촌동,도촌동
apartment,00051a4c2f907027e3a75f104cacbb014e9e28ebedc0908a63f00c669b61da57,nonurban,le15,le20,myeon,190,12,53,65,48,12,15.0,경상남도,창원시,마산합포구,진동면,진동면
apartment,000a0a26aee0e31653f909cab10a30d3e3cef6f416ccf704ddd2bc7d32928e76,metro,m16_25,le20,dong,98,5,28,45,18,2,20.0,서울특별시,중랑구,면목동,,면목동
apartment,0013cb624d4130123560ea95f642680419c5c8ef4859b67b0c6bedd931d3cfab,other_urban,le15,le20,dong,295,14,55,120,91,15,15.0,전남광주통합특별시,북구,일곡동,,일곡동
apartment,001bcd8066d28c75d038d5666ff50f0e03ca41a6373eb4ca2ba92cba678a3340,metro,m16_25,le20,dong,129,10,31,48,30,10,18.0,서울특별시,서대문구,홍제동,,홍제동
apartment,00205129a8c89c9c1d6b904bf260a2cbc3a22a05fca8e09f5f0533214ef0848a,metro,le15,le20,dong,69,5,7,37,14,6,13.0,인천광역시,미추홀구,학익동,,학익동
apartment,002e95f4bb9d8f4774e309e1cc75351465512b28f5f0b7984b63efd8bfe265c5,metro_city,le15,le20,dong,208,15,49,82,51,11,15.0,대전광역시,서구,둔산동,,둔산동
apartment,003d9e40092963298832634be4b3ac26f6c0bc3b1696c1202b09d2e5c09e8ddd,other_urban,m16_25,le20,dong,97,6,24,43,21,3,19.0,전북특별자치도,전주시,덕진구,송천동1가,송천동1가
apartment,00520ec5728dfa789fa28009b41b56781acc51052ebe8d0309a133083bb0497f,metro,m16_25,m21_30,dong,149,12,52,75,9,1,21.0,경기도,고양시,일산서구,일산동,일산동
apartment,005ba81ea81f2f3ca6ff15d080090619172df3895ec7b8b77faf932909163ca7,metro,m16_25,le20,dong,73,5,22,28,12,6,19.0,경기도,성남시,분당구,대장동,대장동
apartment,006bf058b8c4350b106d312866563efe6a8a7d7e839833388d133a499f3a2f24,metro,m16_25,le20,dong,369,19,80,177,81,12,20.0,인천광역시,영종구,운서동,,운서동
apartment,006ebda8ec8cb38944112a8e1530fd40f141d2e2703ee831dac988d6b760b6a3,other_urban,le15,le20,dong,460,29,93,181,131,26,15.0,전북특별자치도,전주시,덕진구,인후동1가,인후동1가
apartment,007010d81b20bab34f0fe1a4957b22c8c21aece4682d947989a2e3a222a49834,metro,m16_25,le20,dong,77,8,12,27,28,2,17.0,경기도,용인시,처인구,삼가동,삼가동
apartment,0083174a7bd51c6baa8308384706e701f313ebe7ed57cc37de8606ac75d8c62d,nonurban,ge26,m21_30,myeon,702,10,173,336,180,3,29.0,전남광주통합특별시,순천시,해룡면,,해룡면
apartment,00869775d4ec9035bff541f25e6d0ba54360b549f970c4930dedd8a1eb81df09,metro,m16_25,le20,dong,84,7,20,43,12,2,20.0,서울특별시,마포구,상수동,,상수동
apartment,0089e13f3dccae626711b278f9c191fad4c370d5fcd10eab860b42f78f7914d3,other_urban,m16_25,le20,dong,84,5,17,37,20,5,19.0,전남광주통합특별시,북구,연제동,,연제동
apartment,008a54fc62ff57864cb254daa70aaa5dbfc42400c66cfaabdd1ff723c6c98745,metro,m16_25,m21_30,dong,198,11,59,78,48,2,25.0,서울특별시,금천구,가산동,,가산동
apartment,009bf16cc0e75297cb4f4ba3adb6c34c207cbeb50a1c47a846221ad99f92dd40,metro,m16_25,m21_30,dong,311,15,121,157,17,1,25.0,경기도,성남시,분당구,정자동,정자동
apartment,009cb368351d2c83d04e51e3055e0ca68ed99b7b666975eb464fa119a272103c,other_urban,le15,le20,dong,56,5,0,24,10,17,5.0,전북특별자치도,전주시,덕진구,호성동1가,호성동1가
apartment,009f215e7359d61337d35533c6eb8ceddd510a132e7a55328d8817fe20863ba8,metro_city,m16_25,le20,dong,369,20,103,168,76,2,18.0,울산광역시,북구,천곡동,,천곡동
apartment,00b68369e2627982695a094d75b534709b9b92f55351eac26e342acc5da9b3ed,nonurban,le15,le20,eup,65,5,13,27,17,3,15.0,경상북도,포항시,북구,흥해읍,흥해읍
apartment,00bc0d0bcf308d900d1cdcce4e7add43b13da9462066aecd931af1a7a02d2c5c,metro,le15,le20,dong,65,8,19,22,11,5,15.0,경기도,여주시,오학동,,오학동
apartment,00bfbd200f8c2837c096f49ea2c6f24653af91ca931cd817063651fb8be3c7b9,other_urban,le15,le20,dong,116,9,27,42,31,7,15.0,강원특별자치도,동해시,이도동,,이도동
apartment,00c1ba78eeb0ad8cb2bca0ccf66545173a994f651c1f9ccbfcef3a4064344463,metro,m16_25,m21_30,dong,121,6,59,52,3,1,24.0,경기도,안양시,동안구,평촌동,평촌동
