순서,KAIS검색힌트,왜이표본,sido,asset_type,tier,is_share,contract_date,price_만원,tx_lot,tx_road,gross,land_tx,reg_addr,reg_addr_road,n_range,n_exact,road_check,struct,reg_use,id,KAIS_실제지번,복원일치,메모
1,서울특별시 송파구 가락동 | 마스킹 1** | 오금로46길 | 연 208.72 | 대지 158.47 | 2021-08-27 | 171000만원,지분A1-연면적지문 오탐 여부,서울,commercial,A1,Y,2021-08-27,171000,1**,오금로46길,208.72,158.47,서울특별시 송파구 가락동 188-14번지,서울특별시 송파구 오금로46길 31 (가락동),1242,1,부분일치,벽돌구조,제2종근린생활시설,53564,동일,o,연면적불일치
2,서울특별시 은평구 불광동 | 마스킹 3** | 연서로 | 연 825.42 | 대지 86.0 | 2024-07-05 | 182000만원,지분A1-연면적지문 오탐 여부,서울,commercial,A1,Y,2024-07-05,182000,3**,연서로,825.42,86,서울특별시 은평구 불광동 319-14번지,서울특별시 은평구 연서로 254-15 (불광동),1235,1,부분일치,철근콘크리트구조,제2종근린생활시설,61036,동일,o,연면적불일치
3,서울특별시 도봉구 쌍문동 | 마스킹 7** | 도봉로 | 연 487.44 | 대지 212.75 | 2024-01-09 | 93000만원,지분A1-연면적지문 오탐 여부,서울,commercial,A1,Y,2024-01-09,93000,7**,도봉로,487.44,212.75,서울특별시 도봉구 쌍문동 716-37번지,서울특별시 도봉구 도봉로 613 (쌍문동),292,1,부분일치,철근콘크리트구조,숙박시설,62024,동일,o,연면적불일치
4,충청북도 청주시 흥덕구 봉명동 | 마스킹 2*** | 덕암로113번길 | 연 741.91 | 대지 333.13 | 2021-12-22 | 45200만원,지분A1-연면적지문 오탐 여부,충북,commercial,A1,Y,2021-12-22,45200,2***,덕암로113번길,741.91,333.13,충청북도 청주시 흥덕구 봉명동 2644번지,충청북도 청주시 흥덕구 덕암로113번길 23 (봉명동),1005,1,부분일치,일반철골구조,제1종근린생활시설,86755,동일,o,연면적불일치
5,충청북도 청주시 흥덕구 봉명동 | 마스킹 2*** | 백봉로 | 연 355.89 | 대지 104.25 | 2022-05-20 | 30000만원,지분A1-연면적지문 오탐 여부,충북,commercial,A1,Y,2022-05-20,30000,2***,백봉로,355.89,104.25,충청북도 청주시 흥덕구 봉명동 2683번지,충청북도 청주시 흥덕구 백봉로 237 (봉명동),1005,1,부분일치,철근콘크리트구조,제1종근린생활시설,88309,동일,o,연면적불일치
6,충청북도 충주시 연수동 | 마스킹 1*** | 갱고개로 | 연 738.97 | 대지 185.3 | 2022-05-04 | 50000만원,지분A1-연면적지문 오탐 여부,충북,commercial,A1,Y,2022-05-04,50000,1***,갱고개로,738.97,185.3,충청북도 충주시 연수동 1373번지,충청북도 충주시 갱고개로 173 (연수동),725,1,부분일치,철근콘크리트구조,제2종근린생활시설,88343,동일,o,연면적불일치
7,충청북도 청주시 흥덕구 봉명동 | 마스킹 2*** | 백봉로224번길 | 연 297.23 | 대지 41.89 | 2024-06-10 | 6500만원,지분A1-연면적지문 오탐 여부,충북,commercial,A1,Y,2024-06-10,6500,2***,백봉로224번길,297.23,41.89,충청북도 청주시 흥덕구 봉명동 2042번지,충청북도 청주시 흥덕구 백봉로224번길 6 (봉명동),1005,1,부분일치,철근콘크리트구조,제1종근린생활시설,89649,동일,o,연면적불일치
8,충청북도 청주시 흥덕구 가경동 | 마스킹 1*** | 장구봉로 | 연 662.94 | 대지 87.66 | 2025-02-06 | 24000만원,지분A1-연면적지문 오탐 여부,충북,commercial,A1,Y,2025-02-06,24000,1***,장구봉로,662.94,87.66,충청북도 청주시 흥덕구 가경동 1477-10번지,충청북도 청주시 흥덕구 장구봉로 19 (가경동),1333,1,부분일치,철근콘크리트구조,제2종근린생활시설,90470,동일,o,연면적불일치
9,서울특별시 송파구 가락동 | 마스킹 1** | 중대로 | 연 501.96 | 대지 701.0 | 2022-12-09 | 1350000만원,도로명불일치A1-필터후보,서울,factory,A1,N,2022-12-09,1350000,1**,중대로,501.96,701,서울특별시 송파구 가락동 114-8번지,서울특별시 송파구 송이로26길 16-60 (가락동),1242,1,불일치,철근콘크리트구조,제1종근린생활시설,116905,146-6,x,도로명 없음
10,서울특별시 강북구 미아동 | 마스킹 7** | 삼양로32가길 | 연 62.91 | 대지 205.0 | 2020-06-21 | 124000만원,도로명불일치A1-필터후보,서울,detached,A1,N,2020-06-21,124000,7**,삼양로32가길,62.91,205,서울특별시 강북구 미아동 791-324번지,서울특별시 강북구 삼양로64가길 5 (미아동),2242,1,불일치,벽돌구조,단독주택,966486,703-17,x,703-17은 현재 주소 없음
11,충청북도 충주시 호암동 | 마스킹 1** | 호암중앙2로 | 연 78.9 | 대지 139.0 | 2025-03-13 | 15238만원,도로명불일치A1-필터후보,충북,detached,A1,N,2025-03-13,15238,1**,호암중앙2로,78.9,139,충청북도 충주시 호암동 125-1번지,충청북도 충주시 호암중앙1로 11 (호암동),171,1,불일치,블록구조,제2종근린생활시설,421718,132-4,x,
12,서울특별시 용산구 이태원동 | 마스킹 2** | 소월로44길 | 연 101.32 | 대지 56.0 | 2021-01-22 | 74000만원,A1-후보많음-우연일치 위험,서울,detached,A1,N,2021-01-22,74000,2**,소월로44길,101.32,56,서울특별시 용산구 이태원동 258-301번지,서울특별시 용산구 소월로44길 2-16 (이태원동),1148,1,부분일치,벽돌구조,단독주택,300392,동일,o,
13,서울특별시 구로구 오류동 | 마스킹 * | 고척로 | 연 215.04 | 대지 103.0 | 2022-03-16 | 42000만원,A1-후보많음-우연일치 위험,서울,detached,A1,N,2022-03-16,42000,*,고척로,215.04,103,서울특별시 구로구 오류동 9-104번지,서울특별시 구로구 고척로 31 (오류동),388,1,부분일치,벽돌구조,단독주택,303936,동일,o,
14,서울특별시 동작구 사당동 | 마스킹 1** | 동작대로27마길 | 연 197.48 | 대지 132.0 | 2026-06-06 | 160000만원,A1-후보많음-우연일치 위험,서울,detached,A1,N,2026-06-06,160000,1**,동작대로27마길,197.48,132,서울특별시 동작구 사당동 142-29번지,서울특별시 동작구 동작대로27마길 12 (사당동),964,1,부분일치,벽돌구조,단독주택,771510,동일,o,
