sido_name,sigungu_name,sigungu_code,land_category,region_type,n,n_tiny,n_body,n_large,n_below_floor,area_p25,area_p75,area_p90,tiny_aux,delta_mean_large,delta_median_large,ci_lo_large,ci_hi_large,direction_large,delta_mean_tiny,delta_median_tiny,ci_lo_tiny,ci_hi_tiny,direction_tiny
서울특별시,종로구,11110,대,metro_gu,757,5,379,76,185,10.3,119.0,315.36,False,-0.5437,-0.6426,-0.7316,-0.4934,lower,,,,,skip
서울특별시,용산구,11170,대,metro_gu,747,0,328,75,233,7.0,86.0,236.14,False,0.3663,0.3632,0.1292,0.598,higher,,,,,skip
서울특별시,성동구,11200,대,metro_gu,234,19,116,24,40,15.12,138.1,330.42,False,-0.1148,0.1469,-0.2918,0.4349,neutral,,,,,skip
서울특별시,성북구,11290,대,metro_gu,547,33,273,55,104,12.6,117.5,221.8,True,0.6935,0.4762,-0.0332,0.8675,neutral,-0.3502,-0.337,-0.5736,0.0297,neutral
서울특별시,마포구,11440,대,metro_gu,290,37,143,29,37,18.0,133.2,301.13,True,0.8026,0.6484,0.3713,1.4511,higher,0.1894,-0.0258,-0.282,0.1086,neutral
서울특별시,관악구,11620,대,metro_gu,241,33,120,25,28,25.5,164.6,302.8,True,0.5639,0.1192,-0.0585,0.9424,neutral,-0.5211,-0.4907,-0.6194,-0.2925,lower
서울특별시,서초구,11650,대,metro_gu,258,41,128,26,24,71.85,399.75,864.18,True,0.3764,0.9758,-0.2323,1.5109,neutral,0.6862,1.4091,-0.2483,1.7185,neutral
서울특별시,강남구,11680,대,metro_gu,269,58,134,27,10,198.2,434.2,751.72,True,0.2078,-0.1545,-0.273,0.9763,neutral,-0.0755,0.0917,-0.0909,0.3222,neutral
전남광주통합특별시,목포시,12110,대,prov_city,868,146,433,87,73,33.0,230.8,446.89,True,0.8193,0.796,0.2103,1.3927,higher,-0.0043,-0.0269,-0.2179,0.1332,neutral
전남광주통합특별시,목포시,12110,전,prov_city,494,82,246,50,42,106.5,824.25,1668.26,True,-0.5519,-0.4286,-0.5926,-0.0956,lower,0.0497,0.5143,0.1332,0.8841,higher
전남광주통합특별시,여수시,12130,대,urban_rural,1329,265,665,133,70,51.0,298.0,523.04,True,0.6136,0.3392,0.058,0.8603,higher,0.259,0.3628,0.0694,0.6073,higher
전남광주통합특별시,순천시,12150,대,urban_rural,1505,320,752,151,57,90.4,393.0,607.32,True,-0.1058,1.0612,0.1563,1.6532,higher,0.3119,0.9898,0.5668,1.3822,higher
전남광주통합특별시,나주시,12170,전,urban_rural,3343,749,1671,336,87,291.5,1277.5,2050.0,True,-0.0605,0.3,0.0938,0.3667,higher,0.3424,0.1333,0.0,0.2333,neutral
전남광주통합특별시,동구,12210,대,metro_gu,422,39,209,43,68,18.0,154.8,283.37,True,-0.0928,-0.0382,-0.3286,0.4907,neutral,0.0004,0.0764,-0.2248,0.6072,neutral
전남광주통합특별시,서구,12240,대,metro_gu,425,60,212,43,47,25.5,182.0,320.6,True,-0.0877,-0.0571,-0.3341,0.1847,neutral,-0.1556,-0.2924,-0.4947,-0.067,lower
전남광주통합특별시,남구,12270,대,metro_gu,449,69,224,45,44,30.0,248.0,420.6,True,-0.0158,0.0089,-0.1593,0.4618,neutral,0.0648,0.0606,-0.061,0.3117,neutral
전남광주통합특별시,북구,12300,대,metro_gu,599,96,302,60,54,50.35,301.0,508.6,True,0.2111,0.3986,0.0663,0.6222,higher,0.2759,0.2832,0.1149,0.5553,higher
전남광주통합특별시,광산구,12330,대,metro_gu,977,202,488,98,43,92.7,357.3,586.28,True,0.1401,0.1378,-0.2247,0.3331,neutral,0.1413,0.1152,-0.0281,0.2222,neutral
