sido_name,sigungu_name,sigungu_code,land_category,region_type,direction_large,delta_median_large,direction_tiny,n,p90_p50,population,urban_share,median_unit_price,direction_within,delta_median_within,ci_lo_within,ci_hi_within,within_vs_cell,n_dongs_both,within_reason
서울특별시,종로구,11110,대,metro_gu,lower,-0.6426,skip,757,9.0361,137048,1.0,1136.4,lower,-0.4648,-0.6177,-0.1294,same,16,
서울특별시,용산구,11170,대,metro_gu,higher,0.3632,skip,747,11.2448,201894,1.0,1836.8,higher,0.2502,0.0615,0.552,same,12,
서울특별시,성동구,11200,대,metro_gu,neutral,0.1469,skip,234,7.6842,274606,1.0,1402.4,neutral,-0.0541,-0.4096,0.348,same,5,
서울특별시,성북구,11290,대,metro_gu,neutral,0.4762,neutral,547,5.0409,422559,1.0,650.0,neutral,0.4593,-0.0608,0.8572,same,12,
서울특별시,마포구,11440,대,metro_gu,higher,0.6484,neutral,290,6.1019,357616,1.0,1467.1,higher,0.5306,0.3215,1.4366,same,11,
서울특별시,관악구,11620,대,metro_gu,neutral,0.1192,lower,241,2.9398,477605,1.0,807.0,neutral,0.1192,-0.0534,1.1252,same,3,
서울특별시,서초구,11650,대,metro_gu,neutral,0.9758,neutral,258,4.0986,414428,1.0,2153.1,neutral,0.9076,-0.2483,1.4722,same,7,
서울특별시,강남구,11680,대,metro_gu,neutral,-0.1545,neutral,269,2.7883,556330,1.0,3384.6,neutral,-0.1694,-0.3028,0.9597,same,8,
전남광주통합특별시,목포시,12110,대,prov_city,higher,0.796,neutral,868,5.0128,,1.0,39.4,higher,0.6907,0.1764,1.2846,same,17,
전남광주통합특별시,목포시,12110,전,prov_city,lower,-0.4286,higher,494,5.0862,,1.0,16.6,lower,-0.4079,-0.5853,-0.0411,same,9,
전남광주통합특별시,여수시,12130,대,urban_rural,higher,0.3392,higher,1329,3.0949,,0.9985,38.5,neutral,-0.0558,-0.3372,0.91,to_neutral,43,
전남광주통합특별시,순천시,12150,대,urban_rural,higher,1.0612,higher,1505,2.6637,,0.9927,18.7,neutral,-0.0032,-0.4095,0.57,to_neutral,60,
전남광주통합특별시,나주시,12170,전,urban_rural,higher,0.3,neutral,3343,3.0415,,0.8594,3.2,higher,0.2833,0.1667,0.4483,same,105,
전남광주통합특별시,동구,12210,대,metro_gu,neutral,-0.0382,neutral,422,4.3831,,1.0,186.9,neutral,0.429,-0.0764,0.8241,same,17,
전남광주통합특별시,서구,12240,대,metro_gu,neutral,-0.0571,lower,425,3.1431,,1.0,152.9,neutral,-0.0516,-0.3537,0.2221,same,14,
전남광주통합특별시,남구,12270,대,metro_gu,neutral,0.0089,neutral,449,3.7057,,1.0,137.0,neutral,-0.1388,-0.3987,0.0802,same,12,
전남광주통합특별시,북구,12300,대,metro_gu,higher,0.3986,higher,599,3.1395,,1.0,139.9,higher,0.3208,0.0358,0.5902,same,19,
전남광주통합특별시,광산구,12330,대,metro_gu,neutral,0.1378,neutral,977,2.6291,,1.0,138.5,neutral,0.0528,-0.3042,0.2289,same,34,
전남광주통합특별시,담양군,12710,대,gun,neutral,0.1498,neutral,1026,2.366,,0.9951,22.9,neutral,-0.1053,-0.2868,0.4538,same,48,
전남광주통합특별시,곡성군,12720,대,gun,lower,-0.2673,higher,712,2.2325,,0.9902,5.0,neutral,-0.1809,-0.4395,0.0466,to_neutral,37,
전남광주통합특별시,구례군,12730,대,gun,neutral,-0.033,neutral,520,3.0744,,0.9942,9.4,neutral,-0.0391,-0.2935,0.1902,same,26,
전남광주통합특별시,구례군,12730,전,gun,neutral,0.0492,neutral,1016,3.0081,,0.7963,3.0,neutral,0.0,-0.155,0.2667,same,45,
전남광주통합특별시,고흥군,12740,대,gun,lower,-0.1875,neutral,1767,2.473,,0.9887,3.3,lower,-0.2571,-0.3973,-0.1044,same,75,
전남광주통합특별시,보성군,12750,대,gun,lower,-0.2667,higher,1222,2.5693,,0.9845,3.0,lower,-0.2667,-0.3667,-0.155,same,60,
전남광주통합특별시,화순군,12760,대,gun,neutral,-0.225,neutral,1102,2.3906,,0.9782,7.95,neutral,-0.2486,-0.4725,0.1605,same,50,
전남광주통합특별시,장흥군,12770,대,gun,neutral,-0.0333,higher,1036,2.5849,,0.9817,3.35,neutral,-0.05,-0.2834,0.1333,same,53,
전남광주통합특별시,강진군,12780,대,gun,neutral,0.0,higher,790,2.6762,,0.9633,3.0,neutral,0.0196,-0.3003,0.45,same,44,
전남광주통합특별시,해남군,12790,대,gun,neutral,0.037,higher,1939,2.398,,0.9572,3.0,neutral,0.0385,-0.1609,0.2,same,87,
전남광주통합특별시,영암군,12800,대,gun,neutral,-0.163,neutral,1274,2.6434,,0.9898,4.4,lower,-0.6875,-0.8396,-0.4863,opposite,52,
전남광주통합특별시,무안군,12810,대,gun,lower,-0.1569,neutral,1350,2.2378,,0.9778,5.1,lower,-0.2833,-0.4426,-0.1393,same,65,
전남광주통합특별시,함평군,12820,대,gun,neutral,-0.1316,higher,1201,2.3505,,0.9792,3.9,neutral,-0.1081,-0.2405,0.1077,same,60,
전남광주통합특별시,영광군,12830,대,gun,higher,0.3214,higher,1444,2.2962,,0.9737,3.0,higher,0.3077,0.0714,1.0769,same,63,
전남광주통합특별시,장성군,12840,대,gun,neutral,-0.2326,higher,974,2.5996,,0.9836,13.05,neutral,-0.2546,-0.3916,0.0568,same,55,
전남광주통합특별시,장성군,12840,전,gun,neutral,-0.0918,higher,2113,3.0915,,0.8978,5.1,neutral,-0.0918,-0.28,0.031,same,77,
전남광주통합특별시,완도군,12850,답,gun,neutral,0.0,higher,1885,3.0329,,0.6881,1.2,neutral,0.0,-0.0833,0.2273,same,33,
전남광주통합특별시,완도군,12850,대,gun,neutral,-0.25,neutral,1063,2.4865,,0.9925,3.7,lower,-0.3571,-0.5107,-0.0789,opposite,52,
전남광주통합특별시,진도군,12860,대,gun,neutral,-0.0667,neutral,706,2.2587,,0.9873,2.9,neutral,-0.1,-0.3492,0.3929,same,39,
전남광주통합특별시,신안군,12870,대,gun,neutral,-0.069,higher,1071,2.0249,,0.9804,3.0,neutral,-0.2113,-0.4211,0.0834,same,57,
부산광역시,부산진구,26230,대,metro_gu,higher,0.2226,lower,1120,5.0345,365378,1.0,412.0,higher,0.2226,0.0052,0.8088,same,11,
부산광역시,동래구,26260,대,metro_gu,higher,0.442,higher,278,3.7962,273277,1.0,444.85,higher,0.4461,0.2675,0.9818,same,5,
부산광역시,해운대구,26350,대,metro_gu,neutral,0.0741,neutral,380,4.8511,372604,1.0,743.6,neutral,-0.0073,-0.4348,0.6673,same,7,
부산광역시,금정구,26410,대,metro_gu,neutral,-0.2444,neutral,231,3.012,206588,1.0,248.8,neutral,-0.2444,-0.5166,0.3409,same,10,
부산광역시,강서구,26440,대,metro_gu,higher,0.2918,neutral,497,3.9859,150299,1.0,144.3,higher,0.2533,0.044,0.9956,same,11,
부산광역시,연제구,26470,대,metro_gu,neutral,0.6714,neutral,229,2.8892,211727,1.0,483.3,neutral,0.6714,-0.0719,1.0548,same,2,
