sido_code,sido_name,sigungu_code,sigungu_name,land_category,region_type,n,area_p10,area_p50,area_p75,area_p90,p90_p50,n_ge_300,n_ge_500,n_ge_1000,n_ge_3000,n_ge_5000,n_dongs,dong_n_median,eligible,gate_reasons,n_tier,b_preview
11,서울특별시,11110,종로구,대,metro_gu,757,3.3,34.9,119.0,315.36,9.0361,79,46,13,4,3,70,6.0,True,[],better,B_skip
11,서울특별시,11110,종로구,전,metro_gu,38,15.1,189.0,376.25,1921.2,10.1651,13,9,6,4,1,4,10.5,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11140,중구,대,metro_gu,771,2.4,19.0,62.65,135.5,7.1316,28,11,4,1,0,60,5.0,False,['metro_width'],better,B_skip
11,서울특별시,11170,용산구,대,metro_gu,747,3.0,21.0,86.0,236.14,11.2448,54,26,3,0,0,31,8.0,True,[],better,B_ok
11,서울특별시,11170,용산구,전,metro_gu,26,13.45,277.5,1390.25,2904.5,10.4667,13,12,9,3,0,3,4.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11200,성동구,답,metro_gu,5,321.0,742.0,812.0,865.4,1.1663,5,3,0,0,0,1,5.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11200,성동구,대,metro_gu,234,6.63,43.0,138.1,330.42,7.6842,28,14,8,3,1,14,15.0,True,[],good,B_ok
11,서울특별시,11200,성동구,전,metro_gu,22,13.4,41.5,92.0,222.8,5.3687,1,1,0,0,0,3,2.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11215,광진구,대,metro_gu,112,9.1,114.65,167.05,329.99,2.8782,17,6,6,2,1,7,15.0,False,['n<150'],ok,B_ok
11,서울특별시,11230,동대문구,답,metro_gu,1,10.0,10.0,10.0,10.0,1.0,0,0,0,0,0,1,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11230,동대문구,대,metro_gu,316,5.0,33.53,91.05,160.05,4.7733,15,9,4,1,0,10,27.0,False,['metro_width'],better,B_ok
11,서울특별시,11230,동대문구,전,metro_gu,2,7.3,8.5,9.25,9.7,1.1412,0,0,0,0,0,2,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11260,중랑구,답,metro_gu,4,40.4,216.5,337.75,349.9,1.6162,2,0,0,0,0,2,2.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11260,중랑구,대,metro_gu,112,6.16,111.85,173.225,354.7,3.1712,16,5,4,1,0,6,23.0,False,['n<150'],ok,B_ok
11,서울특별시,11260,중랑구,전,metro_gu,11,99.0,271.0,1012.5,2955.0,10.9041,5,5,3,0,0,2,5.5,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11290,성북구,답,metro_gu,2,119.6,134.0,143.0,148.4,1.1075,0,0,0,0,0,2,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11290,성북구,대,metro_gu,547,4.0,44.0,117.5,221.8,5.0409,37,14,2,0,0,30,4.0,True,[],better,B_skip
11,서울특별시,11290,성북구,전,metro_gu,9,6.2,36.0,79.0,211.716,5.881,1,0,0,0,0,4,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
11,서울특별시,11305,강북구,대,metro_gu,225,4.0,40.0,100.2,167.4,4.185,9,2,0,0,0,4,38.0,False,['metro_width'],good,B_skip
11,서울특별시,11305,강북구,전,metro_gu,3,42.0,98.0,220.0,293.2,2.9918,1,0,0,0,0,2,1.5,False,['no_gate_for_type_jimok'],exclude,B_skip
