building_key,pnu,elevator,ride,emgen,n_dongs,mixed,floors_above,reason
000874671a0aef8ea6a2828b926634f60a7fda13bd814742ecb3a7e4d3e5dee4,4373035021100480009,1,2,0,1,False,4,
00419ba984338a20acca40f4585877740f6f33d4d68473e9b00b39eff220ef71,4159025632101890007,,,,0,False,,no_housing
004f09097dba9e6aac577c8932b968b40861bddc37b6b74954386a5ff59221cb,4427025321103550000,0,0,0,4,False,4,
00a331d01b1b9ea9f4e3e01d612d82f00543ee22f899735d0ead1b445a965a4e,2827510600105460000,0,0,0,40,False,4,
00c0c73dbac2ffed1dcdabc0447e528a432adc9d34ac1cfe58d22b85ecb86450,4127110900104970006,0,0,0,1,False,4,
0105d3eb7362a4256d3641e02c07e691fb3936818fb762720c99fba4faa35a31,1138010800102260002,1,4,0,4,False,6,
01fae0b8a3ea72ab20e7f19a69d4f65a70dfcbd9e7c6c4dda2471e82b1f813a1,4113510700102670000,0,0,0,6,False,4,
0254e182d3866e086961707834e40528289fa42da48e28d32af38d1d70e9ac56,4812312800101430000,1,11,0,6,False,4,
0292692810f861f29a8e9a7eee726d636f82bdcdcd3916a6eb0185707cb50b90,2872036022102100025,1,1,0,1,False,4,
02abbf7726b660bee70ec0c0e7020964220ec0f0cd6553bf1b91844cadff4768,3111010400101260024,0,0,0,2,False,4,
02af0059a5562bb4112d765da3112418570f43fd47efedf785447ee89f7748c5,1117011100101180226,1,0,1,1,False,5,
033755fc031f16514f177f4b0007ea9fe4beec0851038f50279b23cba5d633f5,4155041023104660009,1,3,0,3,False,4,
0341a5bbfbe12f520540c56c89a05b02e7bea1d1a064a60f787935465f620eac,5013010200115900000,1,7,0,7,False,4,
039066032ba95ae248fcb6a393677ea2aff23de8f7b6d6bffc9fd78d57fd22d6,5011031022113650000,,11,0,8,True,4,mixed
0397e1ec3a1a34e0e096b9e37c24a41cdd14782e6c80710347c1bf6685fc93f7,2812513400100220120,0,0,0,1,False,4,
03b43537807928524b1532651cf80892d5d672395d3c30f471f7c5db946c7574,4128111000106280000,1,20,0,11,False,4,
03b454de5459940bd75df8acbbadd4e55add1b544e39f9e63382f18ab3c32553,4420011400105500033,0,0,0,1,False,4,
03e191745a814763ce37decf785e656248d661b17dff9a9f8ef19e06f6e6acc1,4373025037102030002,0,0,0,3,False,4,
044a98ebf07c51d40aa7489b147fcfe193c9be9ccc3d92c912d8265114ef3724,4159013100108610000,,,,0,False,,no_housing
04904a20c91e61e584a8f0d3af032298d17cc0b0e526f2925066d591d85c3c8e,4127110300113000004,0,0,0,1,False,4,
04d8221819f2caff83ba9f017d00c363037639018ebc71323068a10a91bfe5ed,1272037021102360011,1,6,0,4,False,4,
04ec88e687ee498f124376c3918ec48f48bb93222607df123f99d81e848d8daa,4313010500101310008,0,0,0,4,False,4,
