historical_code,canonical_code,historical_name,canonical_name,tx_count_historical,tx_count_db,mapping_ok,action,exemplar
4146136021,4146126221,경기도 용인시 처인구 양지면 양지리,경기도 용인시 처인구 양지읍 양지리,869,869,True,already_present,
4146136022,4146126222,경기도 용인시 처인구 양지면 남곡리,경기도 용인시 처인구 양지읍 남곡리,495,495,True,already_present,
4146136023,4146126223,경기도 용인시 처인구 양지면 평창리,경기도 용인시 처인구 양지읍 평창리,1189,1189,True,already_present,
4146136024,4146126224,경기도 용인시 처인구 양지면 제일리,경기도 용인시 처인구 양지읍 제일리,819,819,True,already_present,
4146136025,4146126225,경기도 용인시 처인구 양지면 추계리,경기도 용인시 처인구 양지읍 추계리,456,456,True,already_present,
4146136026,4146126226,경기도 용인시 처인구 양지면 식금리,경기도 용인시 처인구 양지읍 식금리,250,250,True,already_present,
4146136027,4146126227,경기도 용인시 처인구 양지면 정수리,경기도 용인시 처인구 양지읍 정수리,134,134,True,already_present,
4146136028,4146126228,경기도 용인시 처인구 양지면 대대리,경기도 용인시 처인구 양지읍 대대리,1072,1072,True,already_present,
4146136029,4146126229,경기도 용인시 처인구 양지면 주북리,경기도 용인시 처인구 양지읍 주북리,1197,1197,True,already_present,
4146136030,4146126230,경기도 용인시 처인구 양지면 송문리,경기도 용인시 처인구 양지읍 송문리,425,425,True,already_present,
4159025321,4159325021,경기도 화성시 봉담읍 상리,경기도 화성시 효행구 봉담읍 상리,1272,1272,True,already_present,
4159025322,4159325022,경기도 화성시 봉담읍 내리,경기도 화성시 효행구 봉담읍 내리,1145,1145,True,already_present,
4159025323,4159325023,경기도 화성시 봉담읍 수영리,경기도 화성시 효행구 봉담읍 수영리,538,538,True,already_present,
4159025324,4159325024,경기도 화성시 봉담읍 동화리,경기도 화성시 효행구 봉담읍 동화리,762,762,True,already_present,
4159025325,4159325025,경기도 화성시 봉담읍 와우리,경기도 화성시 효행구 봉담읍 와우리,980,980,True,already_present,
4159025326,4159325026,경기도 화성시 봉담읍 수기리,경기도 화성시 효행구 봉담읍 수기리,387,387,True,already_present,
4159025327,4159325027,경기도 화성시 봉담읍 분천리,경기도 화성시 효행구 봉담읍 분천리,985,985,True,already_present,
4159025328,4159325028,경기도 화성시 봉담읍 왕림리,경기도 화성시 효행구 봉담읍 왕림리,1023,1023,True,already_present,
4159025329,4159325029,경기도 화성시 봉담읍 세곡리,경기도 화성시 효행구 봉담읍 세곡리,164,164,True,already_present,
4159025330,4159325030,경기도 화성시 봉담읍 당하리,경기도 화성시 효행구 봉담읍 당하리,359,359,True,already_present,
4159025331,4159325031,경기도 화성시 봉담읍 마하리,경기도 화성시 효행구 봉담읍 마하리,300,300,True,already_present,
4159025332,4159325032,경기도 화성시 봉담읍 유리,경기도 화성시 효행구 봉담읍 유리,219,219,True,already_present,
4159025333,4159325033,경기도 화성시 봉담읍 덕리,경기도 화성시 효행구 봉담읍 덕리,230,230,True,already_present,
4159025334,4159325034,경기도 화성시 봉담읍 덕우리,경기도 화성시 효행구 봉담읍 덕우리,642,642,True,already_present,
4159025335,4159325035,경기도 화성시 봉담읍 하가등리,경기도 화성시 효행구 봉담읍 하가등리,738,738,True,already_present,
4159025336,4159325036,경기도 화성시 봉담읍 상기리,경기도 화성시 효행구 봉담읍 상기리,1027,1027,True,already_present,
4159025621,4159125021,경기도 화성시 우정읍 원안리,경기도 화성시 만세구 우정읍 원안리,1008,1008,True,already_present,
4159025622,4159125022,경기도 화성시 우정읍 호곡리,경기도 화성시 만세구 우정읍 호곡리,3303,3303,True,already_present,
4159025623,4159125023,경기도 화성시 우정읍 운평리,경기도 화성시 만세구 우정읍 운평리,1325,1325,True,already_present,
4159025624,4159125024,경기도 화성시 우정읍 한각리,경기도 화성시 만세구 우정읍 한각리,581,581,True,already_present,
4159025625,4159125025,경기도 화성시 우정읍 멱우리,경기도 화성시 만세구 우정읍 멱우리,831,831,True,already_present,
4159025626,4159125026,경기도 화성시 우정읍 화수리,경기도 화성시 만세구 우정읍 화수리,1853,1853,True,already_present,
4159025627,4159125027,경기도 화성시 우정읍 주곡리,경기도 화성시 만세구 우정읍 주곡리,3784,3784,True,already_present,
4159025628,4159125028,경기도 화성시 우정읍 이화리,경기도 화성시 만세구 우정읍 이화리,1975,1975,True,already_present,
4159025629,4159125029,경기도 화성시 우정읍 석천리,경기도 화성시 만세구 우정읍 석천리,2422,2422,True,already_present,
4159025630,4159125030,경기도 화성시 우정읍 매향리,경기도 화성시 만세구 우정읍 매향리,3131,3131,True,already_present,
4159025631,4159125031,경기도 화성시 우정읍 화산리,경기도 화성시 만세구 우정읍 화산리,2527,2527,True,already_present,
4159025632,4159125032,경기도 화성시 우정읍 조암리,경기도 화성시 만세구 우정읍 조암리,2490,2490,True,already_present,
4159025633,4159125033,경기도 화성시 우정읍 국화리,경기도 화성시 만세구 우정읍 국화리,66,66,True,already_present,
4159025921,4159125321,경기도 화성시 향남읍 평리,경기도 화성시 만세구 향남읍 평리,1140,1140,True,already_present,
4159025922,4159125322,경기도 화성시 향남읍 발안리,경기도 화성시 만세구 향남읍 발안리,306,306,True,already_present,
4159025923,4159125323,경기도 화성시 향남읍 제암리,경기도 화성시 만세구 향남읍 제암리,1035,1035,True,already_present,
4159025924,4159125324,경기도 화성시 향남읍 상신리,경기도 화성시 만세구 향남읍 상신리,3912,3912,True,already_present,
4159025925,4159125325,경기도 화성시 향남읍 구문천리,경기도 화성시 만세구 향남읍 구문천리,2734,2734,True,already_present,
4159025926,4159125326,경기도 화성시 향남읍 하길리,경기도 화성시 만세구 향남읍 하길리,4880,4880,True,already_present,
4159025927,4159125327,경기도 화성시 향남읍 화리현리,경기도 화성시 만세구 향남읍 화리현리,2296,2296,True,already_present,
4159025928,4159125328,경기도 화성시 향남읍 상두리,경기도 화성시 만세구 향남읍 상두리,941,941,True,already_present,
4159025929,4159125329,경기도 화성시 향남읍 백토리,경기도 화성시 만세구 향남읍 백토리,1163,1163,True,already_present,
4159025930,4159125330,경기도 화성시 향남읍 길성리,경기도 화성시 만세구 향남읍 길성리,1648,1648,True,already_present,
4159025931,4159125331,경기도 화성시 향남읍 요리,경기도 화성시 만세구 향남읍 요리,757,757,True,already_present,
4159025932,4159125332,경기도 화성시 향남읍 수직리,경기도 화성시 만세구 향남읍 수직리,652,652,True,already_present,
4159025933,4159125333,경기도 화성시 향남읍 갈천리,경기도 화성시 만세구 향남읍 갈천리,416,416,True,already_present,
4159025934,4159125334,경기도 화성시 향남읍 증거리,경기도 화성시 만세구 향남읍 증거리,1650,1650,True,already_present,
4159025935,4159125335,경기도 화성시 향남읍 송곡리,경기도 화성시 만세구 향남읍 송곡리,1513,1513,True,already_present,
4159025936,4159125336,경기도 화성시 향남읍 동오리,경기도 화성시 만세구 향남읍 동오리,4068,4068,True,already_present,
4159025937,4159125337,경기도 화성시 향남읍 관리,경기도 화성시 만세구 향남읍 관리,598,598,True,already_present,
4159025938,4159125338,경기도 화성시 향남읍 도이리,경기도 화성시 만세구 향남읍 도이리,1749,1749,True,already_present,
4159025939,4159125339,경기도 화성시 향남읍 행정리,경기도 화성시 만세구 향남읍 행정리,879,879,True,already_present,
4159025940,4159125340,경기도 화성시 향남읍 방축리,경기도 화성시 만세구 향남읍 방축리,4237,4237,True,already_present,
4159025941,4159125341,경기도 화성시 향남읍 장짐리,경기도 화성시 만세구 향남읍 장짐리,1084,1084,True,already_present,
4159026221,4159125621,경기도 화성시 남양읍 남양리,경기도 화성시 만세구 남양읍 남양리,5102,5102,True,already_present,
4159026222,4159125622,경기도 화성시 남양읍 신남리,경기도 화성시 만세구 남양읍 신남리,3247,3247,True,already_present,
4159026223,4159125623,경기도 화성시 남양읍 장덕리,경기도 화성시 만세구 남양읍 장덕리,2424,2424,True,already_present,
4159026224,4159125624,경기도 화성시 남양읍 안석리,경기도 화성시 만세구 남양읍 안석리,1339,1339,True,already_present,
4159026225,4159125625,경기도 화성시 남양읍 활초리,경기도 화성시 만세구 남양읍 활초리,2452,2452,True,already_present,
4159026226,4159125626,경기도 화성시 남양읍 온석리,경기도 화성시 만세구 남양읍 온석리,1602,1602,True,already_present,
4159026227,4159125627,경기도 화성시 남양읍 무송리,경기도 화성시 만세구 남양읍 무송리,1764,1764,True,already_present,
4159026228,4159125628,경기도 화성시 남양읍 북양리,경기도 화성시 만세구 남양읍 북양리,2547,2547,True,already_present,
4159026229,4159125629,경기도 화성시 남양읍 송림리,경기도 화성시 만세구 남양읍 송림리,949,949,True,already_present,
